timestamp (ms), x (G), y (G), z (G)
17553,4.89,1.37,2.15
17574,4.89,2.54,3.71
17595,4.89,1.37,3.32
17616,4.89,1.37,3.71
17637,1.76,3.71,4.89
17658,1.76,0.98,2.54
17679,2.54,0.98,4.89
17700,4.50,2.15,3.32
17721,1.76,0.98,4.50
17742,2.15,3.71,4.50
17763,4.50,1.37,4.89
17784,4.89,2.15,4.50
17805,5.28,0.98,3.71
17826,2.15,2.93,4.11
17847,4.89,4.50,2.15
17868,3.32,3.32,2.54
17892,1.76,2.15,4.50
17913,4.50,1.76,3.71
17934,2.15,3.71,2.54
17955,4.89,1.37,4.50
17976,2.54,1.37,4.50
17997,2.93,2.54,2.93
18018,1.76,2.15,2.15
18039,4.11,2.54,2.93
18060,1.76,1.37,2.15
18081,1.76,0.98,1.76
18102,3.71,3.32,1.37
18123,2.54,2.93,4.11
18144,4.50,0.98,3.32
18165,4.50,2.54,2.15
18186,4.11,1.37,2.15
18207,4.50,4.11,1.76
18228,4.50,3.32,2.15
18249,2.15,2.54,4.50
18270,1.76,0.98,1.76
18291,4.89,3.71,4.50
18312,4.89,2.54,4.11
18333,4.50,4.11,4.50
18354,4.50,1.76,3.32
18378,4.89,1.37,3.71
18399,3.32,2.15,4.11
18420,3.71,1.37,4.11
18441,1.37,0.98,4.11
18462,3.71,0.98,4.89
18483,4.89,0.98,4.11
18504,1.76,3.71,2.93
18525,4.50,0.98,3.71
18546,3.71,2.54,3.32
18567,4.11,3.32,3.32
18588,2.15,3.71,4.50
18609,4.50,1.76,2.54
18630,4.50,1.37,2.15
18651,4.89,3.71,4.50
18672,5.28,0.98,1.76
18693,4.11,0.98,2.93
18714,1.76,4.11,2.93
18735,2.15,3.32,4.11
18756,3.32,0.98,3.32
18777,4.89,0.59,2.54
18798,4.89,1.76,3.32
18819,2.15,1.37,2.54
18840,2.54,0.98,4.50
18864,3.71,4.11,2.15
18885,1.76,2.93,2.15
18906,4.11,2.93,4.11
18927,2.15,3.32,4.11
18948,4.50,3.32,2.54
18969,4.89,0.98,4.50
18990,4.50,0.98,4.11
19011,2.15,3.71,4.11
19032,2.54,1.37,2.15
19053,2.93,0.98,4.11
19074,1.76,3.32,1.76
19095,3.32,3.32,4.89
19116,4.89,1.76,3.32
19137,2.54,1.37,1.76
19158,4.11,1.37,4.50
19179,4.89,1.37,3.32
19200,3.71,1.76,2.15
19221,4.11,3.71,4.50
19242,3.71,3.32,2.15
19263,4.89,1.76,3.71
19284,4.50,3.71,2.93
19305,4.50,3.71,1.76
19326,3.71,2.15,2.54
19348,2.93,2.93,1.76
19371,2.54,3.71,2.15
19392,4.89,0.98,2.93
19413,3.32,2.15,2.15
19434,2.15,0.59,2.15
19455,4.11,0.98,2.93
19476,4.50,3.32,1.76
19497,1.76,3.71,4.11
19518,4.89,2.15,2.93
19539,3.32,2.93,2.93
19560,1.37,1.37,3.71
19581,4.50,4.11,2.54
19602,2.54,0.98,2.54
19624,4.11,2.93,4.89
19645,4.89,1.37,3.32
19666,2.15,2.54,3.32
19687,3.32,0.98,1.76
19708,3.71,1.76,1.76
19729,4.89,2.15,4.89
19750,3.32,1.37,3.32
19771,2.15,2.54,2.15
19792,4.11,2.54,3.32
19813,3.32,2.15,1.76
